ticker,company_name,exchange,security_types,sector,market_cap_usd,total_revenue_usd,annual_revenue_growth_pct,net_income_usd,free_cash_flow_usd,cash_and_short_term_investments_usd,total_debt_usd,daily_dollar_volume_usd
SLGN,Silgan Holdings Inc.,NYSE,common,Process Industries,4298087647.304348,6483166000,10.734497823455847,288403000,342755000,,4833754000,29070143.27
HP,"Helmerich & Payne, Inc.",NYSE,common,Industrial Services,4294376474.5251403,3746013000,35.892167436272196,-165094000,315289000,,1862116000,65816633.36
KRC,Kilroy Realty Corporation,NYSE,common,Finance,4256117664.9154778,1112667000,-2.021963158742864,275196000,514548000,,4664327000,45929597.52
RHI,Robert Half Inc.,NYSE,common,Commercial Services,4253134044.190792,5378506000,-7.2005303116702555,132990000.00000001,215061000,,240809000,39031903.8
ITGR,Integer Holdings Corporation,NYSE,common,Health Technology,4251725189.8643622,1846466000,7.3620998122509596,102762000,111976000,,1364531000,118694791.08
VVV,Valvoline Inc.,NYSE,common,Consumer Services,4248627783.5796485,1710300000,5.6392835083384805,210700000,135300000,,1979300000,84108807
ELVN,"Enliven Therapeutics, Inc.",NASDAQ,common,Health Technology,4243842307.064988,0,,-103694000,-67037000.00000001,,1510000,58554224
BFH,"Bread Financial Holdings, Inc.",NYSE,common,Finance,4243408406.5748544,4696000000,-1.9009818257781492,518000000,2170000000,,3285000000,37080715.800000004
LAZ,"Lazard, Inc.",NYSE,common,Finance,4242997616.961618,3204797000,1.8215293895245857,230910000,616944000,,2153003000,61659780.56
KFY,Korn Ferry,NYSE,common,Commercial Services,4236387970.1425986,2938641000,6.430621864005685,274041000,324293000,,596172000,26207596.099999998
OLED,Universal Display Corporation,NASDAQ,common,Electronic Technology,4229408531.9872394,650611000,0.4519179105860265,241922000,220016000,,21690000,76112052.15
SEZL,Sezzle Inc.,NASDAQ,common,Technology Services,4224193958.808138,450279000,66.07617066477826,133130000,327622000,,122115000,72215180.8
NP,Neptune Insurance Holdings Inc.,NYSE,common,Finance,4222662416.151263,159551000,33.740433700198665,37413000,,,240000000,13060264.959999999
SITE,"SiteOne Landscape Supply, Inc.",NYSE,common,Distribution Services,4217110889.414974,4704800000,3.6162621679954188,151800000,259300000,,1128100000,63496532.4
FCN,"FTI Consulting, Inc.",NYSE,common,Commercial Services,4215735194.8248377,3788857000,2.4388615095445583,270871000,358732000,,1267516000,75844858.76
AEHR,Aehr Test Systems,NASDAQ,common,Electronic Technology,4215540644.319508,50001000,-15.206552706552706,-7126000,-5376000,,9882000,406354430.44
DLO,DLocal Limited,NASDAQ,common,Technology Services,4211628197.9277105,1093587000.00001,46.59854096788136,196801000.000002,437590650,,90283000,28218979.32
LFTO,"Liftoff Mobile, Inc.",NASDAQ,common,Technology Services,4205298155.597682,685744000,32.064323543572456,-23145000,,,1816083000,33927716.4
PTEN,"Patterson-UTI Energy, Inc.",NASDAQ,common,Energy Minerals,4202861621.9132004,4826624000,-10.25095060145101,-93635000,177725000,,1285581000,59830202.76
MAT,"Mattel, Inc.",NASDAQ,common,Consumer Durables,4185505104.294744,5347623000,-0.5934143885004423,397584000,434607000,,2746311000,46217248.65
MSGE,Madison Square Garden Entertainment Corp.,NYSE,common,Consumer Services,4182750719.175255,1060784000.0000001,12.522090006300834,66186000.00000001,,,1175365000,67345800.36
COLD,"Americold Realty Trust, Inc.",NYSE,common,Finance,4168016049.157459,2601846000,-2.4261768335832827,-114548000,349122000,,4619910000,42445820.8
TNGX,"Tango Therapeutics, Inc.",NASDAQ,common,Health Technology,4164798809.153378,62384000,48.28971451662745,-101594000,-144269000,,31992000,62254736.66
SKYW,"SkyWest, Inc.",NASDAQ,common,Transportation,4163561043.335619,4058202000,15.031009773464252,428334000,284089000,,2384091000,23292286.14
AVNT,Avient Corporation,NYSE,common,Process Industries,4157647016.571146,3260200000,0.6110356746080731,81900000,186900000,,1875800000,52277185.14
HAE,Haemonetics Corporation,NYSE,common,Health Technology,4155700718.746847,1334027000,-1.9691745589436989,97308000,291217000,,1174158000,75171997.94
